HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB
HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HB
HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HB
HB,,,,,,,,,BB,BB,BB,,,,,BB,,,,,,,,,,,,BB,BB,BB,,,,,BB,,,,,,,,,,,,BB,BB,BB,,,,,BB,,,,HB
HB,SP,,,,,,,,,,,,,,,,,,,SP,,,,,,,,,,,,,,,,,,,SP,,,,,,,,,,,,,,,,,,,HB
HB,BB,BB,BB,BB,,,QB+RS,,,,,,,QB+C,,,,,,BB,BB,BB,BB,,,QB+RS,,,,,,,QB+C,,,,,,BB,BB,BB,BB,,,QB+RS,,,,,,,QB+C,,,,,,HB
HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HB
HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HB
HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HB
HB,,,,,,MB,,,,,,,QB+RS,QB+RS,QB+RS,,,,,,,,,,MB,,,,,,,QB+RS,QB+RS,QB+RS,,,,,,,,,,MB,,,,,,,QB+RS,QB+RS,QB+RS,,,,,HB
HB,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,HB
HB,,,,MB,,,,MB,,,SP,,,,,,,,,,,,MB,,,,MB,,,SP,,,,,,,,,,,,MB,,,,MB,,,SP,,,,,,,,,HB
HB,,,MB,,,,,,MB,,P,,,,,,,,,,,MB,,,,,,MB,,P,,,,,,,,,,,MB,,,,,,MB,,P,,,,,,,,,HB
HB,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,HB
HB,,,,,,,GSP,,,,MB,MB,MB,MB,MB,MB,,,,,,,,,,GSP,,,,MB,MB,MB,MB,MB,MB,,,,,,,,,,GSP,,,,MB,MB,MB,MB,MB,MB,,,,HB
HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HB
HB,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,HB
HB,,MB,,,,,,BB,BB,,,,,,,,,P,,,MB,,,,,,BB,BB,,,,,,,,,P,,,MB,,,,,,BB,BB,,,,,,,,,P,,HB
HB,,,MB,,,,,,,,,,,,,,KSP,,,,,MB,,,,,,,,,,,,,,KSP,,,,,MB,,,,,,,,,,,,,,KSP,,,HB
HB,,,,MB,,,,,,,,,,,MB,MB,MB,MB,MB,,,,MB,,,,,,,,,,,MB,MB,MB,MB,MB,,,,MB,,,,,,,,,,,MB,MB,MB,MB,MB,HB
HB,,,,,,,,,,,,,,MB,,UB,UB,UB,MB,,,,,,,,,,,,,,MB,,UB,UB,UB,MB,,,,,,,,,,,,,,MB,,UB,UB,UB,MB,HB
HB,BB,,,,,,,,,,,,MB,,,,,,,BB,,,,,,,,,,,,MB,,,,,,,BB,,,,,,,,,,,,MB,,,,,,,HB
HB,,,,SP,MB,,,,,,,MB,,,,,,,,,,,SP,MB,,,,,,,MB,,,,,,,,,,,SP,MB,,,,,,,MB,,,,,,,,HB
HB,,,,MB,MB,,,,,,MB,,,,,,,,,,,,MB,MB,,,,,,MB,,,,,,,,,,,,MB,MB,,,,,,MB,,,,,,,,,HB
HB,,,MB,,,,,,,MB,,,,,,,,,,,,MB,,,,,,,MB,,,,,,,,,,,,MB,,,,,,,MB,,,,,,,,,,HB
HB,,MB,,,,,,,MB,,,,,,,BB,BB,,,,MB,,,,,,,MB,,,,,,,BB,BB,,,,MB,,,,,,,MB,,,,,,,BB,BB,,,HB
HB,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,HB
HB,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,HB
HB,MB,,,,,,,,,,,BB,,,,,,,,MB,,,,,,,,,,,BB,,,,,,,,MB,,,,,,,,,,,BB,,,,,,,,HB
HB,,MB,,,,,,,QB+RS,QB+C,QB+C,BB,BB,BB,BB,,,,,,MB,,,,,,,QB+RS,QB+C,QB+C,BB,BB,BB,BB,,,,,,MB,,,,,,,QB+RS,QB+C,QB+C,BB,BB,BB,BB,,,,,HB
HB,,,MB,,MB,,,,,,,,,,,,,,,,,MB,,MB,,,,,,,,,,,,,,,,,MB,,MB,,,,,,,,,,,,,,,HB
HB,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,HB
HB,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,HB
HB,,,,,,,MB,,,,,,,,,,,,QB+C,,,,,,,MB,,,,,,,,,,,,QB+C,,,,,,,MB,,,,,,,,,,,,QB+C,HB
HB,BB,,,,,,,,,,,,,,,BB,BB,,,BB,,,,,,,,,,,,,,,BB,BB,,,BB,,,,,,,,,,,,,,,BB,BB,,,HB
HB,BB,,,SP,,,,,MB,MB,MB,,,,,,,,,BB,,,SP,,,,,MB,MB,MB,,,,,,,,,BB,,,SP,,,,,MB,MB,MB,,,,,,,,,HB
HB,,,,P,,,,,,,,MB,,,,,,,,,,,P,,,,,,,,MB,,,,,,,,,,,P,,,,,,,,MB,,,,,,,,HB
HB,,,,,,,,SP,,,,,MB,,,,,,,,,,,,,,SP,,,,,MB,,,,,,,,,,,,,,SP,,,,,MB,,,,,,,HB
HB,,BB,BB,BB,BB,BB,,QB+RS,,,,,,MB,,,,,MB,,BB,BB,BB,BB,BB,,QB+RS,,,,,,MB,,,,,MB,,BB,BB,BB,BB,BB,,QB+RS,,,,,,MB,,,,,MB,HB
HB,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,HB
HB,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,HB
HB,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,HB
HB,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,HB
HB,BB,BB,,,,,,P,,,,,MB,,,,,,,BB,BB,,,,,,P,,,,,MB,,,,,,,BB,BB,,,,,,P,,,,,MB,,,,,,,HB
HB,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,HB
HB,,,,,,MB,MB,MB,MB,,,MB,,,,,,,,,,,,,MB,MB,MB,MB,,,MB,,,,,,,,,,,,,MB,MB,MB,MB,,,MB,,,,,,,,HB
HB,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,HB
HB,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,HB
HB,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,HB
HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HB
HB,MB,,,,,QB+C,BB,,,,,,,,,,,,,MB,,,,,QB+C,BB,,,,,,,,,,,,,MB,,,,,QB+C,BB,,,,,,,,,,,,,HB
HB,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,HB
HB,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,,,,,,,HB
HB,,,,MB,,,,,BB,BB,BB,,,,,,,,,,,,MB,,,,,BB,BB,BB,,,,,,,,,,,,MB,,,,,BB,BB,BB,,,,,,,,,HB
HB,BB,,,,,,,,,,,,,,,,,,,BB,,,,,,,,,,,,,,,,,,,BB,,,,,,,,,,,,,,,,,,,HB
HB,,,,,,MB,MB,,,,,,,,,,,,,,,,,,MB,MB,,,,,,,,,,,,,,,,,,MB,MB,,,,,,,,,,,,,HB
HB,,,,,MB,,,MB,,,,,,,,,,,,,,,,MB,,,MB,,,,,,,,,,,,,,,,MB,,,MB,,,,,,,,,,,,HB
HB,,,SP,MB,,,,,MB,,,,,,,,,,,,,SP,MB,,,,,MB,,,,,,,,,,,,,SP,MB,,,,,MB,,,,,,,,,,,HB
HB,,,MB,,,P,,,,,SP,,,,,,,,,,,MB,,,P,,,,,SP,,,,,,,,,,,MB,,,P,,,,,SP,,,,,,,,,HB
HB,SP,,,,,,,,,,,,,,,,,,,SP,,,,,,,,,,,,,,,,,,,SP,,,,,,,,,,,,,,,,,,,HB
HB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB
HB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB
DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB
